Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
66,0.0751 $\pm$ 0.0,0.0145 $\pm$ 0.0098,0.0253 $\pm$ 0.0126,0.0313 $\pm$ 0.014,0.2014 $\pm$ 0.0
67,0.6095 $\pm$ 0.0,0.2165 $\pm$ 0.0616,0.1976 $\pm$ 0.0472,0.2084 $\pm$ 0.0532,1.0 $\pm$ 0.0
68,0.4481 $\pm$ 0.0,0.0717 $\pm$ 0.0524,0.1144 $\pm$ 0.0579,0.1422 $\pm$ 0.0602,0.8056 $\pm$ 0.0
69,0.1984 $\pm$ 0.0,0.1019 $\pm$ 0.0289,0.1358 $\pm$ 0.038,0.1481 $\pm$ 0.0523,1.0 $\pm$ 0.0
70,0.0571 $\pm$ 0.0,0.0106 $\pm$ 0.0097,0.0287 $\pm$ 0.0186,0.0381 $\pm$ 0.0216,0.3036 $\pm$ 0.0
71,0.5831 $\pm$ 0.0,0.2038 $\pm$ 0.0544,0.1926 $\pm$ 0.0466,0.2026 $\pm$ 0.0549,1.0 $\pm$ 0.0
72,0.1662 $\pm$ 0.0,0.1242 $\pm$ 0.0445,0.1525 $\pm$ 0.0366,0.1415 $\pm$ 0.06,1.0 $\pm$ 0.0
73,0.244 $\pm$ 0.0,0.0366 $\pm$ 0.0219,0.0665 $\pm$ 0.0588,0.1082 $\pm$ 0.0696,0.2351 $\pm$ 0.0
74,1.7683 $\pm$ 0.0,2.0143 $\pm$ 0.4213,1.8703 $\pm$ 0.2632,1.6871 $\pm$ 0.5801,8.4286 $\pm$ 0.0
75,3.4702 $\pm$ 0.0,5.2487 $\pm$ 1.0223,11114200574.6603 $\pm$ 14904811036.7223,16690156299.3395 $\pm$ 14122226579.9121,116000000000.0 $\pm$ 0.0
76,3.4702 $\pm$ 0.0,5.2487 $\pm$ 1.0223,11114200574.6603 $\pm$ 14904811036.7223,16690156299.3395 $\pm$ 14122226579.9121,116000000000.0 $\pm$ 0.0
