Measurement,Base_to_1,Base_to_2,Base_to_4,Bast_to_8,Base_to_Base
31,0.0 $\pm$ 0.0,0.0112 $\pm$ 0.0047,0.0132 $\pm$ 0.0046,0.0119 $\pm$ 0.0051,0.214 $\pm$ 0.0
32,-1.658 $\pm$ 0.0,-0.994 $\pm$ 1.1197,-0.0795 $\pm$ 0.5435,-0.1355 $\pm$ 0.5143,1.7731 $\pm$ 0.0
33,0.0 $\pm$ 0.0,0.0938 $\pm$ 0.0476,0.1249 $\pm$ 0.047,0.1118 $\pm$ 0.0362,1.0 $\pm$ 0.0
34,0.0 $\pm$ 0.0,0.5821 $\pm$ 0.2398,0.6725 $\pm$ 0.2313,0.574 $\pm$ 0.2446,8.1321 $\pm$ 0.0
35,0.2727 $\pm$ 0.0,1.9951 $\pm$ 1.3574,2.7402 $\pm$ 1.373,2.4644 $\pm$ 1.0095,32.9024 $\pm$ 0.0
36,0.0 $\pm$ 0.0,0.0471 $\pm$ 0.0301,0.0651 $\pm$ 0.0305,0.0612 $\pm$ 0.0246,1.0 $\pm$ 0.0
37,-0.0909 $\pm$ 0.0,-0.0762 $\pm$ 0.0788,-0.0186 $\pm$ 0.0438,-0.0226 $\pm$ 0.0359,1.0 $\pm$ 0.0
38,0.0 $\pm$ 0.0,0.0938 $\pm$ 0.0476,0.1249 $\pm$ 0.047,0.1118 $\pm$ 0.0362,1.0 $\pm$ 0.0
39,-0.0909 $\pm$ 0.0,-0.0762 $\pm$ 0.0788,-0.0186 $\pm$ 0.0438,-0.0226 $\pm$ 0.0359,1.0 $\pm$ 0.0
40,-0.0909 $\pm$ 0.0,0.0276 $\pm$ 0.0718,0.0909 $\pm$ 0.0502,0.0722 $\pm$ 0.0433,0.6675 $\pm$ 0.0
41,0.0 $\pm$ 0.0,0.0994 $\pm$ 0.0485,0.1289 $\pm$ 0.0474,0.1154 $\pm$ 0.0371,1.0 $\pm$ 0.0
42,0.0 $\pm$ 0.0,0.0994 $\pm$ 0.0485,0.1289 $\pm$ 0.0474,0.1154 $\pm$ 0.0371,1.0 $\pm$ 0.0
